"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ka.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\lv.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\mk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ms.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\nb.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ne.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\nl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\pl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ps.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\pt-BR.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\pt.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ro.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\ru.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\sk.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\User\Desktop\django-aiogram-bot\staticfiles\admin\js\vendor\select2\i18n\sl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
